,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.88,0.95,0.64,0.73,0.72,0.89,0.93,0.85,0.88,0.88,0.96,0.95,0.4,0.74,0.46,0.37,0.52,0.42,0.53,0.59,0.75,0.83,0.81,0.88,0.88,0.96,0.95,0.87,0.91,0.93,0.81,0.59,0.76,0.94,0.61,0.96,0.89,0.94,0.68,0.65,0.96,0.24,0.81
HADS_03,0.88,1.0,0.88,0.6,0.78,0.74,0.89,0.82,0.79,0.78,0.76,0.8,0.81,0.41,0.71,0.47,0.39,0.54,0.47,0.56,0.56,0.68,0.75,0.71,0.78,0.86,0.83,0.81,0.76,0.85,0.79,0.75,0.62,0.7,0.84,0.57,0.82,0.81,0.79,0.66,0.61,0.86,0.25,0.83
HADS_05,0.95,0.88,1.0,0.64,0.79,0.7,0.93,0.94,0.89,0.85,0.89,0.92,0.92,0.52,0.82,0.6,0.49,0.58,0.52,0.64,0.67,0.77,0.78,0.78,0.89,0.88,0.91,0.91,0.82,0.88,0.88,0.79,0.59,0.75,0.9,0.67,0.91,0.85,0.88,0.73,0.6,0.94,0.35,0.85
HADS_07,0.64,0.6,0.64,1.0,0.58,0.58,0.6,0.62,0.65,0.61,0.59,0.58,0.65,0.34,0.56,0.31,0.37,0.39,0.37,0.44,0.44,0.62,0.59,0.6,0.66,0.59,0.6,0.56,0.59,0.6,0.57,0.58,0.47,0.58,0.6,0.53,0.6,0.56,0.56,0.51,0.51,0.63,0.19,0.58
HADS_09,0.73,0.78,0.79,0.58,1.0,0.7,0.88,0.82,0.88,0.75,0.74,0.63,0.7,0.46,0.86,0.55,0.48,0.58,0.46,0.6,0.57,0.68,0.62,0.57,0.68,0.78,0.64,0.6,0.61,0.7,0.57,0.68,0.56,0.69,0.68,0.51,0.64,0.61,0.55,0.62,0.44,0.74,0.25,0.77
HADS_11,0.72,0.74,0.7,0.58,0.7,1.0,0.7,0.69,0.69,0.66,0.67,0.63,0.68,0.42,0.65,0.45,0.39,0.44,0.36,0.5,0.55,0.64,0.65,0.62,0.7,0.65,0.65,0.6,0.66,0.67,0.6,0.64,0.63,0.71,0.65,0.54,0.62,0.61,0.57,0.64,0.54,0.68,0.26,0.77
HADS_13,0.89,0.89,0.93,0.6,0.88,0.7,1.0,0.94,0.92,0.87,0.87,0.83,0.87,0.44,0.86,0.54,0.45,0.6,0.5,0.59,0.61,0.7,0.73,0.68,0.81,0.9,0.83,0.81,0.75,0.84,0.79,0.77,0.56,0.73,0.86,0.58,0.85,0.79,0.78,0.67,0.54,0.88,0.25,0.82
HAMA_01,0.93,0.82,0.94,0.62,0.82,0.69,0.94,1.0,0.95,0.92,0.94,0.9,0.95,0.41,0.88,0.51,0.41,0.58,0.46,0.54,0.59,0.72,0.77,0.72,0.82,0.91,0.87,0.85,0.78,0.84,0.83,0.78,0.52,0.73,0.9,0.55,0.9,0.8,0.84,0.65,0.54,0.91,0.24,0.78
HAMA_02,0.85,0.79,0.89,0.65,0.88,0.69,0.92,0.95,1.0,0.87,0.9,0.8,0.87,0.47,0.93,0.55,0.49,0.6,0.5,0.61,0.61,0.71,0.68,0.65,0.8,0.84,0.77,0.74,0.69,0.76,0.72,0.73,0.53,0.7,0.8,0.54,0.79,0.71,0.72,0.64,0.48,0.85,0.25,0.79
HAMA_03,0.88,0.78,0.85,0.61,0.75,0.66,0.87,0.92,0.87,1.0,0.9,0.82,0.88,0.24,0.77,0.34,0.26,0.54,0.38,0.39,0.4,0.6,0.79,0.68,0.72,0.91,0.81,0.79,0.75,0.83,0.79,0.77,0.48,0.68,0.86,0.45,0.87,0.79,0.79,0.52,0.5,0.83,0.09,0.7
