,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.51,0.56,0.32,0.62,0.51,0.57,0.65,0.65,0.25,0.36,0.2,0.47,0.33,0.28,0.36,0.42,0.24,0.2,0.42,0.51,0.37,0.34,0.26,0.61,0.35,0.43,0.49,0.34,0.36,0.6,0.43,0.44,0.4,0.39,0.32,0.23,0.37,0.27,0.39,0.4,0.31,0.46,0.72
HADS_03,0.51,1.0,0.65,0.14,0.77,0.31,0.76,0.49,0.39,0.44,0.19,0.02,0.17,0.18,0.21,0.32,0.26,0.21,0.14,0.25,0.24,0.25,0.26,0.15,0.25,0.64,0.33,0.47,0.26,0.35,0.42,0.37,0.45,0.35,0.39,0.18,0.39,0.45,0.18,0.29,0.22,0.16,0.4,0.56
HADS_05,0.56,0.65,1.0,0.19,0.63,0.34,0.66,0.53,0.43,0.35,0.24,0.13,0.27,0.19,0.23,0.31,0.29,0.13,0.16,0.31,0.27,0.22,0.3,0.21,0.42,0.52,0.31,0.52,0.26,0.33,0.47,0.31,0.43,0.32,0.41,0.28,0.34,0.43,0.23,0.29,0.3,0.24,0.33,0.53
HADS_07,0.32,0.14,0.19,1.0,0.23,0.32,0.16,0.14,0.22,0.08,0.1,-0.02,0.17,0.09,0.06,0.03,0.07,0.06,0.0,0.08,0.06,0.18,0.35,0.14,0.39,0.09,0.14,0.13,0.08,0.1,0.2,0.11,0.06,0.08,0.09,0.05,0.02,0.08,0.12,0.04,0.11,0.04,0.06,0.2
HADS_09,0.62,0.77,0.63,0.23,1.0,0.32,0.75,0.53,0.5,0.39,0.19,0.07,0.21,0.25,0.31,0.4,0.29,0.25,0.19,0.35,0.33,0.31,0.38,0.22,0.26,0.54,0.39,0.57,0.3,0.4,0.55,0.43,0.48,0.35,0.41,0.22,0.36,0.47,0.23,0.33,0.31,0.26,0.41,0.58
HADS_11,0.51,0.31,0.34,0.32,0.32,1.0,0.32,0.24,0.28,0.19,0.38,0.16,0.33,0.22,0.16,0.14,0.16,0.12,0.09,0.16,0.27,0.25,0.26,0.25,0.32,0.11,0.34,0.24,0.3,0.12,0.29,0.16,0.25,0.33,0.23,0.17,0.05,0.15,0.14,0.25,0.09,0.15,0.21,0.38
HADS_13,0.57,0.76,0.66,0.16,0.75,0.32,1.0,0.43,0.44,0.36,0.24,0.1,0.16,0.25,0.34,0.5,0.38,0.32,0.23,0.42,0.28,0.34,0.28,0.24,0.42,0.57,0.42,0.61,0.35,0.38,0.51,0.49,0.56,0.43,0.49,0.38,0.42,0.49,0.29,0.44,0.41,0.35,0.43,0.52
HAMA_01,0.65,0.49,0.53,0.14,0.53,0.24,0.43,1.0,0.65,0.44,0.34,0.18,0.41,0.26,0.26,0.3,0.34,0.25,0.18,0.32,0.49,0.27,0.21,0.23,0.43,0.53,0.29,0.39,0.24,0.49,0.53,0.27,0.37,0.28,0.34,0.2,0.4,0.37,0.22,0.26,0.27,0.23,0.49,0.62
HAMA_02,0.65,0.39,0.43,0.22,0.5,0.28,0.44,0.65,1.0,0.32,0.43,0.21,0.37,0.48,0.44,0.46,0.48,0.32,0.29,0.49,0.49,0.44,0.26,0.27,0.52,0.3,0.37,0.5,0.31,0.35,0.46,0.42,0.45,0.37,0.32,0.33,0.31,0.28,0.25,0.35,0.3,0.33,0.5,0.51
HAMA_03,0.25,0.44,0.35,0.08,0.39,0.19,0.36,0.44,0.32,1.0,0.34,0.07,0.26,0.08,0.16,0.18,0.22,0.16,0.06,0.17,0.23,0.16,0.15,0.12,0.22,0.52,0.21,0.3,0.13,0.49,0.36,0.21,0.25,0.17,0.4,0.17,0.64,0.46,0.17,0.15,0.12,0.15,0.3,0.3
HAMA_04,0.36,0.19,0.24,0.1,0.19,0.38,0.24,0.34,0.43,0.34,1.0,0.34,0.55,0.31,0.36,0.33,0.35,0.25,0.28,0.28,0.29,0.28,0.06,0.2,0.4,0.16,0.32,0.25,0.2,0.15,0.14,0.23,0.11,0.22,0.19,0.29,0.28,0.13,0.32,0.3,0.03,0.19,0.28,0.18
HAMA_05,0.2,0.02,0.13,-0.02,0.07,0.16,0.1,0.18,0.21,0.07,0.34,1.0,0.23,0.21,0.21,0.12,0.11,0.07,0.19,0.1,0.31,0.2,0.02,0.1,0.17,0.02,0.32,0.09,0.22,0.11,0.2,0.11,0.09,0.21,0.13,0.2,0.1,0.09,0.27,0.29,0.08,0.07,0.17,0.05
HAMA_06,0.47,0.17,0.27,0.17,0.21,0.33,0.16,0.41,0.37,0.26,0.55,0.23,1.0,0.31,0.3,0.36,0.34,0.21,0.25,0.34,0.34,0.33,0.17,0.22,0.39,0.12,0.35,0.19,0.18,0.08,0.13,0.16,0.09,0.19,0.23,0.18,0.27,0.07,0.18,0.27,0.14,0.16,0.24,0.25
HAMA_07,0.33,0.18,0.19,0.09,0.25,0.22,0.25,0.26,0.48,0.08,0.31,0.21,0.31,1.0,0.7,0.42,0.34,0.26,0.27,0.48,0.42,0.45,0.15,0.34,0.21,0.08,0.33,0.31,0.24,0.15,0.22,0.27,0.32,0.35,0.1,0.23,0.13,0.14,0.16,0.32,0.14,0.27,0.33,0.2
HAMA_08,0.28,0.21,0.23,0.06,0.31,0.16,0.34,0.26,0.44,0.16,0.36,0.21,0.3,0.7,1.0,0.56,0.41,0.4,0.4,0.55,0.27,0.56,0.24,0.23,0.17,0.12,0.51,0.43,0.21,0.08,0.16,0.35,0.24,0.28,0.11,0.27,0.18,0.12,0.25,0.48,0.19,0.33,0.38,0.2
HAMA_09,0.36,0.32,0.31,0.03,0.4,0.14,0.5,0.3,0.46,0.18,0.33,0.12,0.36,0.42,0.56,1.0,0.6,0.43,0.39,0.64,0.29,0.47,0.23,0.26,0.34,0.19,0.5,0.68,0.36,0.17,0.24,0.41,0.35,0.4,0.26,0.47,0.3,0.2,0.23,0.54,0.27,0.43,0.42,0.31
HAMA_10,0.42,0.26,0.29,0.07,0.29,0.16,0.38,0.34,0.48,0.22,0.35,0.11,0.34,0.34,0.41,0.6,1.0,0.54,0.34,0.56,0.32,0.38,0.16,0.2,0.39,0.18,0.4,0.46,0.28,0.25,0.3,0.69,0.32,0.3,0.25,0.72,0.3,0.26,0.34,0.43,0.29,0.32,0.44,0.32
HAMA_11,0.24,0.21,0.13,0.06,0.25,0.12,0.32,0.25,0.32,0.16,0.25,0.07,0.21,0.26,0.4,0.43,0.54,1.0,0.46,0.45,0.21,0.27,0.12,0.23,0.24,0.13,0.34,0.27,0.24,0.15,0.16,0.5,0.2,0.25,0.15,0.39,0.15,0.17,0.58,0.32,0.21,0.2,0.32,0.21
HAMA_12,0.2,0.14,0.16,0.0,0.19,0.09,0.23,0.18,0.29,0.06,0.28,0.19,0.25,0.27,0.4,0.39,0.34,0.46,1.0,0.34,0.17,0.27,0.09,0.2,0.15,0.06,0.19,0.22,0.14,0.04,0.12,0.27,0.17,0.17,0.08,0.23,0.09,0.11,0.27,0.25,0.14,0.15,0.28,0.11
HAMA_13,0.42,0.25,0.31,0.08,0.35,0.16,0.42,0.32,0.49,0.17,0.28,0.1,0.34,0.48,0.55,0.64,0.56,0.45,0.34,1.0,0.41,0.44,0.3,0.23,0.36,0.15,0.5,0.56,0.28,0.15,0.3,0.44,0.44,0.36,0.23,0.39,0.24,0.18,0.25,0.48,0.42,0.55,0.38,0.34
HAMA_14,0.51,0.24,0.27,0.06,0.33,0.27,0.28,0.49,0.49,0.23,0.29,0.31,0.34,0.42,0.27,0.29,0.32,0.21,0.17,0.41,1.0,0.27,0.11,0.24,0.33,0.22,0.27,0.32,0.26,0.28,0.43,0.2,0.42,0.31,0.26,0.24,0.19,0.18,0.19,0.24,0.23,0.23,0.51,0.4
BAI_01,0.37,0.25,0.22,0.18,0.31,0.25,0.34,0.27,0.44,0.16,0.28,0.2,0.33,0.45,0.56,0.47,0.38,0.27,0.27,0.44,0.27,1.0,0.31,0.38,0.3,0.16,0.59,0.31,0.32,0.23,0.29,0.47,0.42,0.4,0.24,0.31,0.19,0.23,0.25,0.55,0.21,0.27,0.38,0.33
BAI_02,0.34,0.26,0.3,0.35,0.38,0.26,0.28,0.21,0.26,0.15,0.06,0.02,0.17,0.15,0.24,0.23,0.16,0.12,0.09,0.3,0.11,0.31,1.0,0.18,0.25,0.14,0.39,0.41,0.27,0.22,0.35,0.27,0.27,0.24,0.17,0.1,0.1,0.32,0.19,0.31,0.35,0.44,0.11,0.38
BAI_03,0.26,0.15,0.21,0.14,0.22,0.25,0.24,0.23,0.27,0.12,0.2,0.1,0.22,0.34,0.23,0.26,0.2,0.23,0.2,0.23,0.24,0.38,0.18,1.0,0.16,0.11,0.35,0.21,0.46,0.23,0.27,0.23,0.4,0.46,0.16,0.23,0.13,0.23,0.23,0.32,0.15,0.3,0.22,0.18
BAI_04,0.61,0.25,0.42,0.39,0.26,0.32,0.42,0.43,0.52,0.22,0.4,0.17,0.39,0.21,0.17,0.34,0.39,0.24,0.15,0.36,0.33,0.3,0.25,0.16,1.0,0.29,0.32,0.38,0.32,0.26,0.44,0.32,0.36,0.33,0.36,0.4,0.24,0.3,0.31,0.33,0.37,0.3,0.33,0.42
BAI_05,0.35,0.64,0.52,0.09,0.54,0.11,0.57,0.53,0.3,0.52,0.16,0.02,0.12,0.08,0.12,0.19,0.18,0.13,0.06,0.15,0.22,0.16,0.14,0.11,0.29,1.0,0.18,0.37,0.19,0.54,0.51,0.33,0.37,0.23,0.64,0.18,0.67,0.57,0.2,0.17,0.25,0.13,0.29,0.45
BAI_06,0.43,0.33,0.31,0.14,0.39,0.34,0.42,0.29,0.37,0.21,0.32,0.32,0.35,0.33,0.51,0.5,0.4,0.34,0.19,0.5,0.27,0.59,0.39,0.35,0.32,0.18,1.0,0.46,0.57,0.26,0.34,0.45,0.4,0.59,0.27,0.37,0.19,0.28,0.29,0.82,0.33,0.42,0.37,0.37
BAI_07,0.49,0.47,0.52,0.13,0.57,0.24,0.61,0.39,0.5,0.3,0.25,0.09,0.19,0.31,0.43,0.68,0.46,0.27,0.22,0.56,0.32,0.31,0.41,0.21,0.38,0.37,0.46,1.0,0.35,0.28,0.41,0.43,0.46,0.38,0.37,0.41,0.38,0.33,0.32,0.44,0.47,0.49,0.37,0.42
BAI_08,0.34,0.26,0.26,0.08,0.3,0.3,0.35,0.24,0.31,0.13,0.2,0.22,0.18,0.24,0.21,0.36,0.28,0.24,0.14,0.28,0.26,0.32,0.27,0.46,0.32,0.19,0.57,0.35,1.0,0.26,0.43,0.35,0.53,0.88,0.39,0.36,0.15,0.32,0.21,0.47,0.25,0.25,0.28,0.29
BAI_09,0.36,0.35,0.33,0.1,0.4,0.12,0.38,0.49,0.35,0.49,0.15,0.11,0.08,0.15,0.08,0.17,0.25,0.15,0.04,0.15,0.28,0.23,0.22,0.23,0.26,0.54,0.26,0.28,0.26,1.0,0.61,0.3,0.41,0.3,0.46,0.25,0.54,0.73,0.18,0.2,0.27,0.2,0.36,0.46
BAI_10,0.6,0.42,0.47,0.2,0.55,0.29,0.51,0.53,0.46,0.36,0.14,0.2,0.13,0.22,0.16,0.24,0.3,0.16,0.12,0.3,0.43,0.29,0.35,0.27,0.44,0.51,0.34,0.41,0.43,0.61,1.0,0.41,0.56,0.43,0.51,0.31,0.42,0.73,0.29,0.34,0.42,0.28,0.45,0.61
BAI_11,0.43,0.37,0.31,0.11,0.43,0.16,0.49,0.27,0.42,0.21,0.23,0.11,0.16,0.27,0.35,0.41,0.69,0.5,0.27,0.44,0.2,0.47,0.27,0.23,0.32,0.33,0.45,0.43,0.35,0.3,0.41,1.0,0.43,0.36,0.4,0.59,0.33,0.39,0.46,0.42,0.37,0.26,0.31,0.34
BAI_12,0.44,0.45,0.43,0.06,0.48,0.25,0.56,0.37,0.45,0.25,0.11,0.09,0.09,0.32,0.24,0.35,0.32,0.2,0.17,0.44,0.42,0.42,0.27,0.4,0.36,0.37,0.4,0.46,0.53,0.41,0.56,0.43,1.0,0.63,0.45,0.37,0.29,0.44,0.16,0.43,0.34,0.43,0.39,0.46
BAI_13,0.4,0.35,0.32,0.08,0.35,0.33,0.43,0.28,0.37,0.17,0.22,0.21,0.19,0.35,0.28,0.4,0.3,0.25,0.17,0.36,0.31,0.4,0.24,0.46,0.33,0.23,0.59,0.38,0.88,0.3,0.43,0.36,0.63,1.0,0.39,0.38,0.18,0.32,0.17,0.53,0.21,0.31,0.35,0.37
BAI_14,0.39,0.39,0.41,0.09,0.41,0.23,0.49,0.34,0.32,0.4,0.19,0.13,0.23,0.1,0.11,0.26,0.25,0.15,0.08,0.23,0.26,0.24,0.17,0.16,0.36,0.64,0.27,0.37,0.39,0.46,0.51,0.4,0.45,0.39,1.0,0.31,0.59,0.52,0.2,0.26,0.32,0.18,0.31,0.35
BAI_15,0.32,0.18,0.28,0.05,0.22,0.17,0.38,0.2,0.33,0.17,0.29,0.2,0.18,0.23,0.27,0.47,0.72,0.39,0.23,0.39,0.24,0.31,0.1,0.23,0.4,0.18,0.37,0.41,0.36,0.25,0.31,0.59,0.37,0.38,0.31,1.0,0.32,0.27,0.33,0.43,0.29,0.31,0.36,0.22
BAI_16,0.23,0.39,0.34,0.02,0.36,0.05,0.42,0.4,0.31,0.64,0.28,0.1,0.27,0.13,0.18,0.3,0.3,0.15,0.09,0.24,0.19,0.19,0.1,0.13,0.24,0.67,0.19,0.38,0.15,0.54,0.42,0.33,0.29,0.18,0.59,0.32,1.0,0.52,0.26,0.21,0.23,0.19,0.32,0.26
BAI_17,0.37,0.45,0.43,0.08,0.47,0.15,0.49,0.37,0.28,0.46,0.13,0.09,0.07,0.14,0.12,0.2,0.26,0.17,0.11,0.18,0.18,0.23,0.32,0.23,0.3,0.57,0.28,0.33,0.32,0.73,0.73,0.39,0.44,0.32,0.52,0.27,0.52,1.0,0.25,0.25,0.37,0.2,0.33,0.42
BAI_18,0.27,0.18,0.23,0.12,0.23,0.14,0.29,0.22,0.25,0.17,0.32,0.27,0.18,0.16,0.25,0.23,0.34,0.58,0.27,0.25,0.19,0.25,0.19,0.23,0.31,0.2,0.29,0.32,0.21,0.18,0.29,0.46,0.16,0.17,0.2,0.33,0.26,0.25,1.0,0.22,0.23,0.2,0.16,0.19
