,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.57,0.56,0.35,0.62,0.55,0.59,0.58,0.61,0.23,0.37,0.23,0.47,0.35,0.3,0.35,0.39,0.19,0.16,0.41,0.45,0.38,0.34,0.23,0.52,0.27,0.45,0.52,0.3,0.28,0.5,0.42,0.4,0.37,0.33,0.28,0.22,0.26,0.35,0.37,0.33,0.32,0.42,0.66
HADS_03,0.57,1.0,0.67,0.27,0.82,0.34,0.83,0.47,0.39,0.47,0.23,0.12,0.23,0.2,0.22,0.29,0.23,0.18,0.11,0.22,0.27,0.26,0.28,0.12,0.21,0.61,0.35,0.5,0.25,0.33,0.42,0.38,0.43,0.33,0.42,0.17,0.4,0.39,0.25,0.26,0.2,0.16,0.4,0.52
HADS_05,0.56,0.67,1.0,0.31,0.65,0.36,0.67,0.46,0.38,0.38,0.24,0.17,0.27,0.17,0.19,0.24,0.22,0.05,0.09,0.25,0.27,0.2,0.33,0.16,0.34,0.47,0.29,0.5,0.24,0.29,0.43,0.27,0.39,0.26,0.38,0.2,0.32,0.36,0.26,0.22,0.25,0.2,0.3,0.49
HADS_07,0.35,0.27,0.31,1.0,0.3,0.37,0.25,0.14,0.23,0.14,0.14,0.06,0.18,0.09,0.07,0.03,0.05,0.03,-0.02,0.06,0.09,0.16,0.36,0.1,0.36,0.15,0.12,0.16,0.11,0.12,0.21,0.14,0.06,0.07,0.16,0.02,0.08,0.08,0.16,0.01,0.08,0.02,0.08,0.21
HADS_09,0.62,0.82,0.65,0.3,1.0,0.31,0.8,0.48,0.48,0.4,0.21,0.13,0.25,0.26,0.32,0.39,0.26,0.23,0.15,0.33,0.32,0.3,0.36,0.18,0.19,0.5,0.39,0.59,0.27,0.35,0.48,0.43,0.44,0.32,0.41,0.18,0.37,0.38,0.29,0.3,0.27,0.24,0.4,0.5
HADS_11,0.55,0.34,0.36,0.37,0.31,1.0,0.32,0.25,0.27,0.19,0.41,0.16,0.38,0.21,0.16,0.12,0.13,0.06,0.07,0.14,0.24,0.24,0.28,0.22,0.31,0.09,0.3,0.24,0.26,0.1,0.26,0.13,0.21,0.28,0.18,0.1,0.08,0.09,0.19,0.22,0.05,0.15,0.18,0.39
HADS_13,0.59,0.83,0.67,0.25,0.8,0.32,1.0,0.37,0.39,0.39,0.24,0.13,0.2,0.24,0.31,0.44,0.31,0.25,0.17,0.35,0.26,0.31,0.28,0.19,0.32,0.54,0.39,0.6,0.28,0.32,0.45,0.45,0.49,0.36,0.46,0.3,0.41,0.4,0.31,0.36,0.34,0.31,0.4,0.45
HAMA_01,0.58,0.47,0.46,0.14,0.48,0.25,0.37,1.0,0.61,0.41,0.32,0.26,0.4,0.23,0.2,0.22,0.25,0.14,0.1,0.23,0.46,0.23,0.16,0.17,0.35,0.47,0.26,0.35,0.22,0.43,0.48,0.2,0.33,0.25,0.33,0.13,0.37,0.29,0.21,0.21,0.18,0.17,0.46,0.53
HAMA_02,0.61,0.39,0.38,0.23,0.48,0.27,0.39,0.61,1.0,0.31,0.42,0.26,0.41,0.48,0.41,0.42,0.42,0.24,0.25,0.44,0.45,0.41,0.25,0.22,0.45,0.24,0.34,0.48,0.25,0.29,0.38,0.38,0.39,0.32,0.3,0.25,0.3,0.2,0.25,0.29,0.22,0.29,0.48,0.45
HAMA_03,0.23,0.47,0.38,0.14,0.4,0.19,0.39,0.41,0.31,1.0,0.37,0.17,0.26,0.1,0.14,0.16,0.19,0.12,0.02,0.14,0.25,0.14,0.12,0.1,0.23,0.56,0.19,0.32,0.13,0.49,0.36,0.22,0.27,0.17,0.5,0.16,0.69,0.44,0.23,0.11,0.09,0.14,0.29,0.25
