,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.42,0.28,0.26,0.33,0.41,0.45,0.32,0.47,0.13,0.29,0.2,0.27,0.19,0.16,0.26,0.29,0.16,0.16,0.22,0.38,0.41,0.34,0.13,0.34,0.23,0.31,0.29,0.33,0.27,0.34,0.4,0.26,0.3,0.14,0.2,0.18,0.24,0.18,0.29,0.3,0.16,0.31,0.49
HADS_03,0.42,1.0,0.41,0.26,0.72,0.4,0.66,0.51,0.3,0.43,0.32,0.05,0.22,0.17,0.21,0.26,0.27,0.21,0.22,0.21,0.26,0.37,0.25,0.18,0.25,0.65,0.22,0.28,0.22,0.57,0.4,0.48,0.28,0.18,0.43,0.18,0.54,0.47,0.19,0.22,0.14,0.15,0.43,0.49
HADS_05,0.28,0.41,1.0,0.23,0.35,0.28,0.52,0.42,0.17,0.27,0.23,0.2,0.13,0.08,0.13,0.11,0.17,0.03,-0.0,0.08,0.17,0.22,0.26,0.13,0.31,0.39,0.22,0.21,0.15,0.34,0.34,0.33,0.15,0.1,0.3,0.12,0.35,0.3,0.15,0.15,0.18,0.17,0.22,0.43
HADS_07,0.26,0.26,0.23,1.0,0.35,0.43,0.31,0.38,0.37,0.18,0.26,0.14,0.26,0.16,0.12,0.11,0.23,0.13,0.04,0.16,0.31,0.27,0.36,0.33,0.59,0.14,0.2,0.19,0.29,0.25,0.33,0.27,0.28,0.36,0.18,0.24,0.17,0.2,0.17,0.15,0.2,0.24,0.34,0.3
HADS_09,0.33,0.72,0.35,0.35,1.0,0.47,0.68,0.53,0.35,0.37,0.3,0.05,0.24,0.24,0.19,0.32,0.33,0.35,0.23,0.23,0.28,0.38,0.36,0.27,0.28,0.43,0.26,0.39,0.3,0.56,0.52,0.55,0.35,0.27,0.37,0.2,0.44,0.42,0.36,0.24,0.2,0.25,0.44,0.42
HADS_11,0.41,0.4,0.28,0.43,0.47,1.0,0.51,0.43,0.4,0.21,0.33,0.16,0.33,0.32,0.25,0.23,0.23,0.14,0.12,0.19,0.41,0.41,0.34,0.2,0.34,0.17,0.22,0.33,0.25,0.26,0.35,0.25,0.31,0.33,0.25,0.15,0.16,0.23,0.13,0.17,0.18,0.18,0.34,0.4
HADS_13,0.45,0.66,0.52,0.31,0.68,0.51,1.0,0.54,0.42,0.33,0.31,0.17,0.27,0.21,0.2,0.36,0.39,0.26,0.21,0.26,0.34,0.38,0.37,0.12,0.45,0.48,0.31,0.45,0.26,0.52,0.48,0.54,0.38,0.26,0.44,0.32,0.5,0.45,0.29,0.25,0.29,0.29,0.38,0.52
HAMA_01,0.32,0.51,0.42,0.38,0.53,0.43,0.54,1.0,0.55,0.34,0.44,0.25,0.51,0.36,0.32,0.32,0.4,0.3,0.31,0.34,0.49,0.37,0.31,0.22,0.46,0.48,0.25,0.32,0.25,0.5,0.52,0.43,0.31,0.32,0.41,0.18,0.41,0.35,0.24,0.16,0.26,0.28,0.47,0.46
HAMA_02,0.47,0.3,0.17,0.37,0.35,0.4,0.42,0.55,1.0,0.23,0.39,0.25,0.42,0.39,0.32,0.34,0.52,0.33,0.26,0.35,0.49,0.36,0.29,0.19,0.53,0.26,0.26,0.31,0.33,0.3,0.38,0.46,0.49,0.42,0.27,0.33,0.25,0.26,0.16,0.21,0.22,0.21,0.4,0.33
HAMA_03,0.13,0.43,0.27,0.18,0.37,0.21,0.33,0.34,0.23,1.0,0.29,0.09,0.17,0.02,0.11,0.08,0.06,0.02,0.05,0.05,0.12,0.12,0.21,0.21,0.07,0.57,0.15,0.14,0.13,0.52,0.33,0.2,0.17,0.06,0.42,0.02,0.56,0.44,0.05,0.2,0.13,0.13,0.24,0.21
HAMA_04,0.29,0.32,0.23,0.26,0.3,0.33,0.31,0.44,0.39,0.29,1.0,0.29,0.43,0.28,0.31,0.23,0.3,0.21,0.21,0.26,0.37,0.28,0.2,0.13,0.37,0.33,0.24,0.2,0.15,0.28,0.27,0.28,0.17,0.2,0.28,0.23,0.35,0.23,0.21,0.18,0.06,0.19,0.24,0.24
HAMA_05,0.2,0.05,0.2,0.14,0.05,0.16,0.17,0.25,0.25,0.09,0.29,1.0,0.25,0.13,0.23,0.1,0.1,0.07,0.14,0.02,0.23,0.17,0.08,0.09,0.32,0.16,0.29,0.1,0.21,0.12,0.35,0.19,0.24,0.24,0.28,0.29,0.18,0.09,0.11,0.26,0.1,-0.01,0.16,0.14
HAMA_06,0.27,0.22,0.13,0.26,0.24,0.33,0.27,0.51,0.42,0.17,0.43,0.25,1.0,0.29,0.28,0.35,0.29,0.23,0.42,0.27,0.37,0.38,0.2,0.17,0.38,0.18,0.26,0.28,0.22,0.13,0.23,0.21,0.22,0.27,0.27,0.18,0.24,0.11,0.11,0.24,0.16,0.16,0.15,0.3
