,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.74,0.71,0.63,0.75,0.77,0.74,0.71,0.75,0.67,0.58,0.58,0.61,0.67,0.67,0.57,0.6,0.57,0.57,0.63,0.72,0.69,0.63,0.48,0.7,0.59,0.63,0.58,0.62,0.68,0.73,0.69,0.64,0.66,0.7,0.64,0.64,0.67,0.54,0.66,0.51,0.56,0.7,0.64
HADS_03,0.74,1.0,0.67,0.42,0.83,0.63,0.85,0.74,0.64,0.68,0.52,0.42,0.49,0.5,0.62,0.55,0.54,0.54,0.55,0.6,0.57,0.55,0.5,0.36,0.46,0.78,0.52,0.54,0.48,0.74,0.68,0.68,0.59,0.53,0.7,0.51,0.71,0.69,0.44,0.51,0.46,0.45,0.64,0.53
HADS_05,0.71,0.67,1.0,0.5,0.66,0.7,0.71,0.68,0.55,0.61,0.58,0.62,0.6,0.52,0.57,0.48,0.48,0.5,0.52,0.57,0.6,0.53,0.52,0.43,0.53,0.6,0.52,0.53,0.45,0.6,0.66,0.54,0.56,0.46,0.63,0.55,0.61,0.61,0.47,0.51,0.46,0.45,0.55,0.58
HADS_07,0.63,0.42,0.5,1.0,0.5,0.57,0.48,0.38,0.48,0.37,0.36,0.35,0.48,0.41,0.36,0.32,0.35,0.35,0.33,0.43,0.39,0.5,0.5,0.41,0.57,0.31,0.45,0.34,0.39,0.37,0.47,0.39,0.34,0.37,0.44,0.36,0.38,0.4,0.38,0.52,0.38,0.36,0.45,0.41
HADS_09,0.75,0.83,0.66,0.5,1.0,0.64,0.83,0.66,0.66,0.62,0.52,0.44,0.54,0.54,0.65,0.64,0.57,0.61,0.55,0.64,0.57,0.58,0.55,0.39,0.5,0.59,0.58,0.55,0.5,0.64,0.68,0.67,0.56,0.53,0.62,0.52,0.62,0.64,0.5,0.59,0.46,0.45,0.61,0.49
HADS_11,0.77,0.63,0.7,0.57,0.64,1.0,0.68,0.62,0.6,0.59,0.6,0.55,0.6,0.58,0.54,0.48,0.44,0.49,0.53,0.53,0.58,0.5,0.56,0.45,0.62,0.49,0.54,0.58,0.55,0.5,0.58,0.53,0.51,0.55,0.59,0.57,0.54,0.51,0.47,0.54,0.42,0.49,0.54,0.52
HADS_13,0.74,0.85,0.71,0.48,0.83,0.68,1.0,0.69,0.69,0.62,0.54,0.5,0.54,0.55,0.64,0.59,0.56,0.56,0.57,0.62,0.55,0.55,0.57,0.4,0.52,0.64,0.6,0.6,0.52,0.69,0.73,0.68,0.62,0.57,0.7,0.58,0.65,0.69,0.49,0.58,0.55,0.46,0.61,0.55
HAMA_01,0.71,0.74,0.68,0.38,0.66,0.62,0.69,1.0,0.79,0.75,0.67,0.53,0.69,0.63,0.68,0.58,0.62,0.59,0.67,0.71,0.74,0.55,0.53,0.42,0.53,0.78,0.52,0.56,0.49,0.74,0.72,0.61,0.58,0.57,0.73,0.54,0.7,0.68,0.51,0.52,0.5,0.54,0.73,0.66
HAMA_02,0.75,0.64,0.55,0.48,0.66,0.6,0.69,0.79,1.0,0.67,0.66,0.56,0.7,0.79,0.76,0.7,0.73,0.68,0.72,0.76,0.81,0.61,0.55,0.48,0.68,0.55,0.6,0.57,0.57,0.64,0.66,0.63,0.63,0.64,0.7,0.62,0.58,0.59,0.53,0.6,0.52,0.51,0.73,0.62
HAMA_03,0.67,0.68,0.61,0.37,0.62,0.59,0.62,0.75,0.67,1.0,0.58,0.54,0.61,0.55,0.64,0.52,0.56,0.55,0.56,0.57,0.64,0.54,0.47,0.47,0.52,0.73,0.49,0.56,0.51,0.72,0.66,0.62,0.56,0.57,0.74,0.57,0.72,0.66,0.45,0.53,0.41,0.43,0.68,0.55
HAMA_04,0.58,0.52,0.58,0.36,0.52,0.6,0.54,0.67,0.66,0.58,1.0,0.58,0.69,0.64,0.64,0.61,0.67,0.63,0.68,0.68,0.64,0.5,0.35,0.31,0.59,0.54,0.6,0.42,0.45,0.52,0.43,0.52,0.44,0.51,0.58,0.53,0.54,0.45,0.51,0.53,0.3,0.45,0.62,0.52
HAMA_05,0.58,0.42,0.62,0.35,0.44,0.55,0.5,0.53,0.56,0.54,0.58,1.0,0.64,0.64,0.63,0.52,0.54,0.59,0.53,0.57,0.61,0.57,0.45,0.47,0.61,0.43,0.61,0.53,0.52,0.47,0.52,0.57,0.52,0.53,0.56,0.67,0.49,0.46,0.5,0.53,0.44,0.39,0.48,0.48
HAMA_06,0.61,0.49,0.6,0.48,0.54,0.6,0.54,0.69,0.7,0.61,0.69,0.64,1.0,0.63,0.62,0.63,0.6,0.58,0.68,0.67,0.69,0.54,0.5,0.43,0.64,0.46,0.63,0.49,0.48,0.49,0.52,0.48,0.43,0.51,0.59,0.53,0.5,0.47,0.51,0.63,0.45,0.41,0.59,0.56
