,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_06,SAS_07,SAS_08,SAS_09,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,AES_01,AES_02,AES_03,AES_04,AES_05,AES_06,AES_07,AES_08,AES_09,AES_10,AES_11,AES_12,AES_13,AES_14,AES_15,AES_16,AES_17,AES_18,AMI_01,AMI_02,AMI_03,AMI_04,AMI_05,AMI_06,AMI_07,AMI_08,AMI_09,AMI_10,AMI_11,AMI_12,AMI_13,AMI_14,AMI_15,AMI_16,AMI_17,AMI_18,LARS_02.2,LARS_03.1,LARS_03.2,LARS_03.3,LARS_03.4,LARS_04.1,LARS_04.2,LARS_04.3,LARS_04.4,LARS_05.1,LARS_05.2,LARS_05.3,LARS_05.4,LARS_06.1,LARS_06.2,LARS_06.3,LARS_06.4,LARS_07.1,LARS_07.2,LARS_07.3,LARS_07.4,LARS_08.1,LARS_08.2,LARS_08.3,LARS_08.4,LARS_09.1,LARS_09.2,LARS_09.3,LARS_09.4,MDS-UPDRS_1.5,NPI_G_screen
SAS_01,1.0,0.82,0.83,0.86,0.86,0.74,0.77,0.79,0.78,0.81,0.82,0.85,0.82,0.79,0.8,0.72,0.75,0.75,0.84,0.71,0.59,0.73,0.77,0.71,0.68,0.63,0.71,0.74,0.62,0.76,0.59,0.6,0.74,0.75,0.81,0.73,0.63,0.72,0.76,0.65,0.75,0.72,0.76,0.76,0.76,0.72,0.77,0.74,0.75,0.72,0.83,0.84,0.72,0.71,0.75,0.83,0.85,0.82,0.79,0.82,0.81,0.8,0.8,0.8,0.78,0.81,0.82,0.78,0.82,0.8,0.8,0.82,0.84,0.82,0.76,0.85,0.82,0.82,0.82,0.79,0.76
SAS_02,0.82,1.0,0.79,0.82,0.81,0.71,0.8,0.8,0.81,0.75,0.75,0.78,0.77,0.79,0.72,0.66,0.66,0.63,0.66,0.7,0.54,0.67,0.7,0.7,0.64,0.6,0.61,0.69,0.56,0.67,0.61,0.59,0.7,0.63,0.69,0.67,0.58,0.64,0.69,0.54,0.66,0.7,0.66,0.69,0.7,0.64,0.72,0.7,0.68,0.68,0.8,0.82,0.65,0.7,0.71,0.7,0.69,0.8,0.69,0.74,0.76,0.77,0.72,0.75,0.74,0.78,0.8,0.76,0.73,0.75,0.72,0.84,0.76,0.79,0.68,0.76,0.73,0.76,0.74,0.71,0.69
SAS_03,0.83,0.79,1.0,0.75,0.8,0.78,0.81,0.79,0.74,0.78,0.8,0.74,0.77,0.8,0.71,0.66,0.71,0.7,0.68,0.62,0.54,0.71,0.69,0.7,0.75,0.64,0.72,0.67,0.69,0.72,0.61,0.63,0.71,0.67,0.71,0.71,0.63,0.71,0.73,0.63,0.71,0.67,0.69,0.72,0.74,0.67,0.7,0.71,0.69,0.71,0.78,0.74,0.7,0.7,0.7,0.7,0.74,0.76,0.69,0.77,0.74,0.73,0.69,0.78,0.71,0.79,0.78,0.79,0.74,0.82,0.81,0.81,0.77,0.74,0.73,0.78,0.77,0.77,0.79,0.77,0.7
SAS_04,0.86,0.82,0.75,1.0,0.84,0.72,0.77,0.8,0.76,0.75,0.8,0.9,0.75,0.77,0.75,0.72,0.75,0.62,0.71,0.8,0.51,0.73,0.75,0.66,0.61,0.58,0.68,0.71,0.56,0.76,0.57,0.56,0.75,0.7,0.79,0.76,0.65,0.69,0.72,0.66,0.78,0.74,0.73,0.77,0.73,0.68,0.81,0.72,0.72,0.69,0.83,0.86,0.69,0.7,0.74,0.77,0.79,0.8,0.76,0.83,0.82,0.82,0.78,0.78,0.77,0.83,0.84,0.76,0.76,0.73,0.79,0.83,0.8,0.79,0.74,0.83,0.81,0.81,0.77,0.71,0.69
SAS_05,0.86,0.81,0.8,0.84,1.0,0.71,0.76,0.8,0.87,0.78,0.83,0.87,0.81,0.74,0.75,0.73,0.76,0.65,0.71,0.7,0.52,0.77,0.76,0.78,0.66,0.6,0.68,0.75,0.6,0.78,0.58,0.57,0.76,0.7,0.83,0.77,0.65,0.74,0.76,0.65,0.82,0.76,0.77,0.83,0.8,0.69,0.86,0.77,0.74,0.75,0.82,0.89,0.76,0.78,0.76,0.8,0.78,0.85,0.79,0.85,0.85,0.86,0.85,0.81,0.81,0.82,0.83,0.8,0.84,0.78,0.8,0.82,0.81,0.83,0.74,0.88,0.85,0.84,0.82,0.76,0.72
SAS_06,0.74,0.71,0.78,0.72,0.71,1.0,0.78,0.76,0.68,0.66,0.72,0.71,0.7,0.73,0.63,0.6,0.65,0.66,0.64,0.61,0.57,0.68,0.69,0.65,0.67,0.6,0.68,0.62,0.65,0.66,0.57,0.63,0.63,0.64,0.69,0.75,0.69,0.71,0.68,0.65,0.7,0.62,0.67,0.7,0.68,0.65,0.68,0.66,0.67,0.67,0.75,0.71,0.72,0.68,0.71,0.65,0.71,0.72,0.68,0.73,0.73,0.69,0.65,0.72,0.63,0.73,0.71,0.69,0.69,0.73,0.77,0.77,0.74,0.69,0.7,0.73,0.74,0.7,0.72,0.71,0.69
SAS_07,0.77,0.8,0.81,0.77,0.76,0.78,1.0,0.83,0.74,0.71,0.73,0.76,0.74,0.78,0.67,0.62,0.64,0.65,0.64,0.62,0.56,0.64,0.65,0.65,0.65,0.62,0.65,0.66,0.62,0.65,0.62,0.76,0.67,0.64,0.7,0.72,0.65,0.67,0.64,0.62,0.71,0.66,0.7,0.73,0.71,0.68,0.69,0.7,0.72,0.7,0.77,0.76,0.71,0.69,0.74,0.67,0.71,0.76,0.69,0.77,0.76,0.74,0.71,0.77,0.68,0.74,0.75,0.74,0.71,0.75,0.77,0.86,0.78,0.75,0.7,0.74,0.76,0.77,0.74,0.74,0.73
SAS_08,0.79,0.8,0.79,0.8,0.8,0.76,0.83,1.0,0.79,0.7,0.72,0.8,0.73,0.78,0.66,0.67,0.69,0.62,0.66,0.64,0.55,0.71,0.7,0.71,0.64,0.59,0.66,0.65,0.6,0.72,0.58,0.61,0.68,0.67,0.71,0.79,0.62,0.65,0.69,0.68,0.73,0.68,0.7,0.74,0.68,0.65,0.74,0.71,0.76,0.67,0.83,0.8,0.72,0.76,0.79,0.7,0.73,0.77,0.75,0.77,0.78,0.78,0.75,0.77,0.73,0.78,0.78,0.76,0.72,0.77,0.81,0.83,0.79,0.78,0.71,0.76,0.75,0.76,0.78,0.75,0.72
SAS_09,0.78,0.81,0.74,0.76,0.87,0.68,0.74,0.79,1.0,0.73,0.74,0.8,0.76,0.72,0.68,0.74,0.71,0.64,0.65,0.65,0.53,0.72,0.75,0.92,0.66,0.59,0.65,0.73,0.6,0.76,0.56,0.55,0.73,0.7,0.77,0.75,0.62,0.72,0.76,0.67,0.79,0.74,0.8,0.81,0.75,0.68,0.81,0.76,0.77,0.75,0.83,0.88,0.8,0.79,0.8,0.74,0.74,0.84,0.74,0.81,0.83,0.86,0.8,0.77,0.81,0.8,0.8,0.8,0.79,0.8,0.82,0.81,0.81,0.87,0.76,0.84,0.81,0.82,0.83,0.76,0.72
SAS_10,0.81,0.75,0.78,0.75,0.78,0.66,0.71,0.7,0.73,1.0,0.82,0.71,0.77,0.72,0.72,0.63,0.69,0.65,0.68,0.64,0.51,0.7,0.68,0.69,0.63,0.59,0.67,0.67,0.62,0.7,0.53,0.56,0.67,0.7,0.68,0.68,0.64,0.63,0.65,0.58,0.68,0.66,0.69,0.71,0.75,0.68,0.7,0.71,0.69,0.74,0.71,0.75,0.67,0.67,0.72,0.71,0.73,0.74,0.67,0.75,0.71,0.75,0.72,0.73,0.71,0.71,0.72,0.71,0.72,0.75,0.73,0.73,0.75,0.77,0.74,0.72,0.69,0.78,0.77,0.82,0.74
SAS_11,0.82,0.75,0.8,0.8,0.83,0.72,0.73,0.72,0.74,0.82,1.0,0.78,0.8,0.76,0.76,0.72,0.74,0.68,0.71,0.7,0.58,0.74,0.74,0.69,0.68,0.64,0.72,0.74,0.67,0.76,0.58,0.61,0.73,0.74,0.78,0.73,0.66,0.73,0.75,0.67,0.76,0.66,0.75,0.76,0.76,0.71,0.76,0.76,0.71,0.77,0.76,0.77,0.68,0.68,0.71,0.74,0.78,0.78,0.73,0.79,0.76,0.74,0.76,0.75,0.76,0.77,0.78,0.76,0.77,0.77,0.78,0.77,0.79,0.75,0.75,0.8,0.79,0.83,0.8,0.78,0.72
SAS_12,0.85,0.78,0.74,0.9,0.87,0.71,0.76,0.8,0.8,0.71,0.78,1.0,0.73,0.76,0.72,0.75,0.78,0.61,0.69,0.7,0.47,0.74,0.74,0.71,0.61,0.56,0.67,0.72,0.53,0.78,0.54,0.53,0.76,0.7,0.83,0.74,0.61,0.71,0.73,0.74,0.8,0.76,0.78,0.8,0.76,0.66,0.87,0.77,0.71,0.69,0.85,0.89,0.8,0.8,0.78,0.84,0.83,0.83,0.84,0.83,0.86,0.87,0.86,0.83,0.83,0.84,0.87,0.83,0.82,0.78,0.84,0.83,0.83,0.82,0.78,0.88,0.83,0.82,0.79,0.72,0.69
SAS_13,0.82,0.77,0.77,0.75,0.81,0.7,0.74,0.73,0.76,0.77,0.8,0.73,1.0,0.72,0.77,0.7,0.72,0.71,0.74,0.69,0.63,0.73,0.75,0.73,0.73,0.64,0.71,0.77,0.68,0.73,0.59,0.63,0.78,0.69,0.77,0.72,0.69,0.74,0.76,0.63,0.76,0.73,0.74,0.77,0.74,0.72,0.76,0.74,0.73,0.79,0.75,0.77,0.68,0.67,0.7,0.72,0.75,0.78,0.74,0.78,0.75,0.76,0.74,0.78,0.77,0.8,0.8,0.78,0.76,0.79,0.77,0.76,0.81,0.78,0.73,0.8,0.79,0.83,0.81,0.76,0.77
SAS_14,0.79,0.79,0.8,0.77,0.74,0.73,0.78,0.78,0.72,0.72,0.76,0.76,0.72,1.0,0.64,0.58,0.64,0.59,0.61,0.62,0.54,0.63,0.61,0.62,0.61,0.56,0.6,0.6,0.58,0.61,0.58,0.55,0.66,0.66,0.67,0.67,0.62,0.68,0.69,0.6,0.68,0.66,0.63,0.66,0.69,0.65,0.67,0.7,0.66,0.72,0.75,0.75,0.7,0.72,0.73,0.69,0.72,0.77,0.7,0.75,0.74,0.73,0.7,0.75,0.73,0.74,0.75,0.75,0.7,0.77,0.76,0.81,0.74,0.75,0.75,0.72,0.74,0.77,0.77,0.68,0.65
AES_01,0.8,0.72,0.71,0.75,0.75,0.63,0.67,0.66,0.68,0.72,0.76,0.72,0.77,0.64,1.0,0.86,0.8,0.87,0.92,0.87,0.76,0.78,0.87,0.74,0.84,0.83,0.76,0.85,0.79,0.8,0.8,0.82,0.74,0.73,0.74,0.68,0.66,0.71,0.73,0.65,0.72,0.69,0.71,0.74,0.75,0.71,0.73,0.72,0.75,0.7,0.7,0.72,0.59,0.6,0.63,0.71,0.71,0.68,0.66,0.7,0.68,0.68,0.72,0.67,0.7,0.69,0.71,0.71,0.73,0.71,0.7,0.7,0.73,0.68,0.68,0.75,0.73,0.7,0.72,0.69,0.74
