,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_06,SAS_07,SAS_08,SAS_09,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,AES_01,AES_02,AES_03,AES_04,AES_05,AES_06,AES_07,AES_08,AES_09,AES_10,AES_11,AES_12,AES_13,AES_14,AES_15,AES_16,AES_17,AES_18,AMI_01,AMI_02,AMI_03,AMI_04,AMI_05,AMI_06,AMI_07,AMI_08,AMI_09,AMI_10,AMI_11,AMI_12,AMI_13,AMI_14,AMI_15,AMI_16,AMI_17,AMI_18,LARS_02.2,LARS_03.1,LARS_03.2,LARS_03.3,LARS_03.4,LARS_04.1,LARS_04.2,LARS_04.3,LARS_04.4,LARS_05.1,LARS_05.2,LARS_05.3,LARS_05.4,LARS_06.1,LARS_06.2,LARS_06.3,LARS_06.4,LARS_07.1,LARS_07.2,LARS_07.3,LARS_07.4,LARS_08.1,LARS_08.2,LARS_08.3,LARS_08.4,LARS_09.1,LARS_09.2,LARS_09.3,LARS_09.4,MDS-UPDRS_1.5,NPI_G_screen
SAS_01,1.0,0.52,0.17,0.23,0.4,0.28,0.27,0.32,0.16,0.29,0.36,0.37,0.17,0.1,0.39,0.04,0.2,0.49,0.69,-0.12,0.17,0.01,0.17,0.09,-0.06,-0.01,0.08,0.12,0.08,0.06,0.09,0.08,0.12,0.25,0.44,0.21,0.07,0.17,0.02,0.14,0.17,0.16,0.09,0.2,-0.0,0.16,0.04,0.05,0.42,-0.03,0.27,0.11,0.09,0.03,0.22,0.62,0.67,0.44,0.24,0.13,0.19,0.18,0.2,0.13,0.18,0.25,0.19,0.1,0.24,-0.02,0.24,0.19,0.18,0.07,0.06,0.21,0.13,0.02,0.08,0.14,0.08
SAS_02,0.52,1.0,0.11,0.17,0.38,0.32,0.25,0.3,0.02,0.24,0.29,0.2,0.17,0.08,0.42,0.1,0.14,0.35,0.37,-0.05,0.1,0.07,0.29,0.04,-0.04,0.01,0.05,0.12,-0.02,0.12,0.09,0.09,0.09,0.35,0.36,0.31,0.04,0.11,0.1,0.13,0.13,0.21,0.1,0.17,-0.02,0.17,0.0,0.03,0.41,-0.1,0.29,0.02,-0.02,0.03,0.13,0.42,0.26,0.23,0.22,0.06,0.12,0.1,0.15,0.1,0.04,0.16,0.09,0.03,0.15,0.04,0.21,0.18,0.09,0.07,-0.03,0.12,0.05,-0.06,-0.03,0.16,0.04
SAS_03,0.17,0.11,1.0,0.2,0.19,0.22,0.28,0.24,0.18,0.33,0.38,0.17,0.28,0.27,0.07,-0.0,0.05,0.05,0.02,0.02,0.07,0.09,-0.06,0.09,0.26,0.04,0.04,0.08,0.2,0.05,0.04,0.1,0.4,0.04,0.04,-0.05,0.16,0.2,0.34,0.07,0.1,0.17,0.12,0.12,0.24,0.12,0.05,0.34,-0.04,0.07,0.08,0.05,0.29,0.2,0.15,0.11,0.07,0.12,0.13,0.12,0.16,0.14,0.16,0.14,0.2,0.3,0.39,0.41,0.23,0.47,0.35,0.18,0.03,0.02,0.01,0.24,0.18,0.1,0.11,0.3,0.39
SAS_04,0.23,0.17,0.2,1.0,0.38,0.32,0.61,0.5,0.39,0.4,0.43,0.54,0.29,0.39,0.17,0.26,0.26,0.1,0.1,0.47,0.36,0.25,0.24,0.33,0.14,0.04,0.03,0.17,0.14,0.25,0.23,0.36,0.11,0.14,0.06,0.03,0.26,0.19,0.24,0.06,0.5,0.22,0.45,0.48,0.09,0.13,0.31,0.1,0.18,0.11,0.35,0.45,0.26,0.28,0.42,0.17,0.27,0.15,0.16,0.66,0.57,0.6,0.53,0.22,0.34,0.18,0.16,0.25,0.44,0.14,0.18,0.22,0.26,0.08,0.19,0.54,0.31,0.27,0.22,0.25,0.11
SAS_05,0.4,0.38,0.19,0.38,1.0,0.31,0.41,0.52,0.41,0.35,0.34,0.28,0.34,0.31,0.28,0.26,0.15,0.37,0.26,0.06,0.23,0.08,0.3,0.32,0.05,0.18,0.28,0.18,0.01,0.26,0.05,0.21,0.16,0.33,0.4,0.34,0.11,0.12,0.05,0.41,0.2,0.43,0.25,0.23,0.07,0.23,0.21,0.17,0.41,0.05,0.37,0.18,0.26,0.21,0.34,0.34,0.26,0.45,0.37,0.15,0.3,0.25,0.41,0.12,0.26,0.22,0.21,0.18,0.32,0.1,0.35,0.36,0.34,0.07,0.07,0.34,0.22,0.13,0.08,0.4,0.11
SAS_06,0.28,0.32,0.22,0.32,0.31,1.0,0.53,0.39,0.25,0.19,0.27,0.36,0.24,0.21,0.17,0.13,0.18,0.19,0.17,-0.07,0.22,0.28,0.19,0.2,-0.01,-0.02,0.13,0.1,0.06,0.19,0.06,0.23,0.12,0.15,0.15,0.17,0.2,0.22,0.2,0.1,0.19,0.15,0.27,0.34,-0.06,0.1,0.14,0.06,0.21,-0.0,0.25,0.22,0.19,0.15,0.26,0.22,0.18,0.23,0.18,0.22,0.32,0.36,0.18,0.08,0.07,0.24,0.17,0.11,0.26,0.13,0.21,0.22,0.14,0.05,0.06,0.37,0.22,0.09,0.04,0.18,0.07
SAS_07,0.27,0.25,0.28,0.61,0.41,0.53,1.0,0.65,0.34,0.32,0.29,0.55,0.32,0.37,0.11,0.18,0.24,0.12,0.12,0.15,0.29,0.32,0.21,0.3,0.06,0.04,0.14,0.21,0.1,0.29,0.16,0.59,0.2,0.14,0.09,0.1,0.21,0.19,0.15,0.13,0.41,0.27,0.43,0.66,0.03,0.17,0.25,0.16,0.17,0.09,0.37,0.39,0.24,0.16,0.34,0.22,0.26,0.17,0.16,0.49,0.49,0.58,0.36,0.13,0.19,0.31,0.27,0.23,0.38,0.13,0.21,0.3,0.18,0.02,0.1,0.49,0.31,0.23,0.2,0.38,0.22
SAS_08,0.32,0.3,0.24,0.5,0.52,0.39,0.65,1.0,0.42,0.26,0.32,0.41,0.27,0.36,0.1,0.35,0.22,0.15,0.13,0.14,0.34,0.14,0.29,0.37,0.06,0.08,0.22,0.14,0.04,0.41,0.14,0.34,0.16,0.19,0.24,0.29,0.16,0.06,0.12,0.26,0.39,0.43,0.37,0.43,-0.02,0.17,0.2,0.13,0.36,-0.05,0.46,0.27,0.23,0.16,0.5,0.24,0.25,0.22,0.24,0.37,0.36,0.36,0.27,0.14,0.23,0.24,0.19,0.19,0.27,0.13,0.29,0.34,0.29,-0.01,-0.01,0.38,0.16,0.11,0.07,0.46,0.21
SAS_09,0.16,0.02,0.18,0.39,0.41,0.25,0.34,0.42,1.0,0.2,0.28,0.43,0.15,0.25,0.11,0.41,0.33,0.13,0.14,0.23,0.25,0.19,0.23,0.81,0.22,0.13,0.18,0.03,0.24,0.43,0.18,0.22,0.12,0.13,0.05,0.21,0.21,0.18,0.16,0.14,0.2,0.26,0.37,0.19,0.16,0.27,0.26,0.15,0.21,0.13,0.2,0.47,0.47,0.38,0.49,0.14,0.22,0.12,0.1,0.26,0.32,0.28,0.25,0.02,0.12,0.1,0.18,0.22,0.26,0.14,0.22,0.15,0.21,0.14,0.22,0.31,0.25,0.15,0.17,0.26,0.12
SAS_10,0.29,0.24,0.33,0.4,0.35,0.19,0.32,0.26,0.2,1.0,0.71,0.17,0.48,0.63,0.14,0.02,-0.06,0.06,0.03,0.26,0.18,-0.01,0.11,0.05,0.36,0.04,-0.01,0.27,0.06,-0.02,0.03,0.11,0.36,0.14,0.13,0.0,0.14,0.15,0.24,0.05,0.19,0.21,0.22,0.14,0.31,0.22,0.09,0.26,0.12,0.17,0.13,0.16,0.17,0.05,0.15,0.24,0.17,0.19,0.17,0.2,0.31,0.23,0.3,0.31,0.31,0.37,0.38,0.34,0.37,0.35,0.23,0.21,0.16,0.06,0.14,0.34,0.26,0.32,0.19,0.52,0.22
SAS_11,0.36,0.29,0.38,0.43,0.34,0.27,0.29,0.32,0.28,0.71,1.0,0.3,0.41,0.51,0.25,0.12,0.1,0.14,0.13,0.25,0.17,0.03,0.19,0.14,0.38,0.08,0.1,0.19,0.1,0.08,0.09,0.1,0.3,0.17,0.2,0.07,0.18,0.11,0.29,0.13,0.24,0.25,0.32,0.16,0.22,0.27,0.13,0.18,0.22,0.06,0.16,0.16,0.22,0.08,0.2,0.22,0.15,0.16,0.12,0.22,0.27,0.19,0.24,0.21,0.22,0.29,0.26,0.28,0.23,0.29,0.23,0.21,0.19,0.09,0.06,0.29,0.17,0.14,0.14,0.42,0.19
