,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
BDI_01,1.0,0.76,0.73,0.75,0.74,0.78,0.75,0.69,0.68,0.75,0.7,0.73,0.7,0.7,0.59,0.74,0.75,0.65,0.62,0.58,0.74,0.57,0.59,0.72,0.71,0.63,0.66,0.75,0.74,0.6,0.67,0.69,0.72,0.73,0.72,0.67,0.74,0.7,0.82,0.74,0.74,0.71,0.58,0.52,0.6,0.56,0.55,0.56,0.49,0.46,0.38,0.47,0.43,0.49,0.41,0.51,0.63,0.58
BDI_02,0.76,1.0,0.78,0.73,0.79,0.76,0.78,0.7,0.76,0.74,0.78,0.77,0.77,0.82,0.67,0.69,0.77,0.73,0.63,0.71,0.74,0.69,0.68,0.75,0.67,0.73,0.73,0.79,0.73,0.71,0.76,0.77,0.75,0.69,0.82,0.73,0.74,0.76,0.8,0.74,0.74,0.78,0.63,0.6,0.64,0.44,0.58,0.6,0.51,0.55,0.53,0.44,0.52,0.59,0.5,0.47,0.71,0.69
BDI_03,0.73,0.78,1.0,0.79,0.8,0.8,0.78,0.77,0.81,0.8,0.78,0.85,0.84,0.77,0.71,0.75,0.83,0.74,0.77,0.65,0.82,0.66,0.73,0.77,0.71,0.71,0.73,0.78,0.74,0.69,0.79,0.74,0.77,0.74,0.79,0.8,0.8,0.78,0.76,0.8,0.81,0.76,0.66,0.56,0.57,0.5,0.6,0.61,0.56,0.57,0.57,0.43,0.45,0.61,0.53,0.51,0.69,0.7
BDI_04,0.75,0.73,0.79,1.0,0.77,0.79,0.75,0.73,0.81,0.82,0.7,0.86,0.81,0.74,0.68,0.9,0.83,0.76,0.65,0.65,0.81,0.61,0.71,0.79,0.77,0.75,0.8,0.83,0.74,0.74,0.72,0.79,0.82,0.75,0.76,0.82,0.91,0.84,0.73,0.77,0.76,0.78,0.63,0.53,0.49,0.39,0.59,0.6,0.5,0.52,0.46,0.34,0.44,0.55,0.45,0.38,0.67,0.73
BDI_05,0.74,0.79,0.8,0.77,1.0,0.75,0.72,0.73,0.76,0.74,0.7,0.77,0.76,0.74,0.74,0.73,0.76,0.78,0.69,0.63,0.75,0.66,0.7,0.77,0.69,0.8,0.75,0.87,0.72,0.7,0.73,0.79,0.78,0.76,0.79,0.76,0.78,0.79,0.79,0.76,0.75,0.78,0.66,0.6,0.54,0.42,0.61,0.65,0.57,0.52,0.5,0.37,0.48,0.57,0.48,0.47,0.68,0.7
BDI_06,0.78,0.76,0.8,0.79,0.75,1.0,0.72,0.74,0.81,0.77,0.7,0.79,0.75,0.74,0.58,0.77,0.75,0.69,0.69,0.66,0.78,0.62,0.67,0.79,0.74,0.64,0.75,0.74,0.73,0.68,0.69,0.78,0.76,0.72,0.76,0.74,0.79,0.78,0.79,0.78,0.78,0.71,0.63,0.5,0.58,0.49,0.57,0.55,0.51,0.54,0.46,0.42,0.45,0.58,0.49,0.46,0.64,0.64
BDI_07,0.75,0.78,0.78,0.75,0.72,0.72,1.0,0.83,0.75,0.69,0.73,0.78,0.75,0.81,0.63,0.73,0.75,0.67,0.58,0.65,0.77,0.64,0.61,0.73,0.67,0.66,0.68,0.74,0.7,0.63,0.68,0.67,0.71,0.69,0.75,0.7,0.72,0.71,0.71,0.72,0.75,0.76,0.6,0.58,0.56,0.46,0.57,0.54,0.52,0.49,0.52,0.4,0.44,0.52,0.48,0.38,0.62,0.61
BDI_08,0.69,0.7,0.77,0.73,0.73,0.74,0.83,1.0,0.78,0.69,0.67,0.75,0.72,0.77,0.6,0.73,0.71,0.68,0.63,0.71,0.74,0.67,0.7,0.75,0.67,0.7,0.72,0.73,0.74,0.64,0.73,0.7,0.75,0.73,0.76,0.72,0.69,0.72,0.69,0.71,0.78,0.73,0.62,0.63,0.59,0.43,0.6,0.61,0.61,0.65,0.56,0.42,0.51,0.68,0.62,0.43,0.66,0.69
BDI_09,0.68,0.76,0.81,0.81,0.76,0.81,0.75,0.78,1.0,0.75,0.7,0.84,0.8,0.76,0.69,0.77,0.77,0.74,0.68,0.75,0.78,0.66,0.74,0.8,0.72,0.71,0.83,0.75,0.71,0.74,0.78,0.78,0.78,0.7,0.78,0.82,0.81,0.84,0.69,0.74,0.78,0.78,0.63,0.6,0.58,0.39,0.61,0.62,0.55,0.59,0.54,0.4,0.49,0.61,0.59,0.37,0.7,0.76
BDI_10,0.75,0.74,0.8,0.82,0.74,0.77,0.69,0.69,0.75,1.0,0.82,0.85,0.89,0.74,0.68,0.85,0.88,0.74,0.7,0.64,0.84,0.56,0.68,0.74,0.72,0.67,0.7,0.76,0.75,0.69,0.76,0.75,0.76,0.73,0.73,0.78,0.82,0.75,0.8,0.81,0.76,0.74,0.58,0.5,0.55,0.46,0.57,0.57,0.49,0.49,0.43,0.41,0.46,0.53,0.44,0.48,0.67,0.64
BDI_11,0.7,0.78,0.78,0.7,0.7,0.7,0.73,0.67,0.7,0.82,1.0,0.78,0.77,0.8,0.69,0.72,0.84,0.73,0.66,0.67,0.77,0.58,0.65,0.69,0.66,0.66,0.68,0.71,0.72,0.67,0.76,0.7,0.72,0.68,0.73,0.75,0.7,0.7,0.75,0.79,0.73,0.72,0.56,0.53,0.57,0.41,0.58,0.57,0.51,0.53,0.51,0.46,0.49,0.57,0.48,0.44,0.67,0.66
BDI_12,0.73,0.77,0.85,0.86,0.77,0.79,0.78,0.75,0.84,0.85,0.78,1.0,0.86,0.78,0.71,0.81,0.85,0.8,0.72,0.71,0.93,0.65,0.74,0.79,0.75,0.74,0.79,0.79,0.75,0.78,0.81,0.78,0.79,0.74,0.79,0.84,0.88,0.81,0.76,0.79,0.82,0.81,0.67,0.58,0.57,0.43,0.61,0.6,0.53,0.6,0.53,0.43,0.49,0.59,0.54,0.43,0.71,0.77
BDI_13,0.7,0.77,0.84,0.81,0.76,0.75,0.75,0.72,0.8,0.89,0.77,0.86,1.0,0.75,0.74,0.78,0.86,0.75,0.69,0.64,0.83,0.6,0.7,0.73,0.7,0.68,0.72,0.76,0.72,0.72,0.77,0.74,0.74,0.71,0.74,0.79,0.82,0.76,0.73,0.78,0.73,0.78,0.63,0.52,0.55,0.46,0.59,0.58,0.52,0.49,0.5,0.4,0.45,0.52,0.47,0.44,0.69,0.68
BDI_14,0.7,0.82,0.77,0.74,0.74,0.74,0.81,0.77,0.76,0.74,0.8,0.78,0.75,1.0,0.65,0.71,0.76,0.7,0.63,0.74,0.77,0.63,0.66,0.75,0.65,0.68,0.73,0.72,0.69,0.69,0.72,0.74,0.74,0.66,0.78,0.73,0.73,0.73,0.73,0.8,0.76,0.74,0.64,0.62,0.57,0.37,0.61,0.6,0.55,0.58,0.56,0.36,0.51,0.6,0.52,0.41,0.68,0.68
BDI_15,0.59,0.67,0.71,0.68,0.74,0.58,0.63,0.6,0.69,0.68,0.69,0.71,0.74,0.65,1.0,0.65,0.75,0.76,0.62,0.64,0.68,0.56,0.69,0.68,0.68,0.67,0.7,0.71,0.69,0.75,0.71,0.69,0.66,0.65,0.69,0.7,0.73,0.75,0.62,0.64,0.64,0.74,0.69,0.54,0.49,0.43,0.62,0.62,0.56,0.57,0.55,0.41,0.44,0.51,0.5,0.46,0.68,0.72
BDI_16,0.74,0.69,0.75,0.9,0.73,0.77,0.73,0.73,0.77,0.85,0.72,0.81,0.78,0.71,0.65,1.0,0.83,0.77,0.64,0.64,0.81,0.57,0.66,0.75,0.72,0.68,0.73,0.78,0.74,0.72,0.71,0.75,0.74,0.74,0.72,0.76,0.81,0.74,0.72,0.78,0.74,0.72,0.59,0.51,0.51,0.42,0.58,0.58,0.5,0.54,0.47,0.41,0.47,0.53,0.49,0.43,0.67,0.68
BDI_17,0.75,0.77,0.83,0.83,0.76,0.75,0.75,0.71,0.77,0.88,0.84,0.85,0.86,0.76,0.75,0.83,1.0,0.77,0.71,0.66,0.81,0.62,0.72,0.75,0.79,0.71,0.76,0.79,0.79,0.75,0.8,0.74,0.79,0.73,0.77,0.82,0.82,0.79,0.77,0.8,0.76,0.77,0.61,0.55,0.52,0.41,0.59,0.59,0.51,0.54,0.47,0.4,0.44,0.55,0.45,0.44,0.67,0.74
BDI_18,0.65,0.73,0.74,0.76,0.78,0.69,0.67,0.68,0.74,0.74,0.73,0.8,0.75,0.7,0.76,0.77,0.77,1.0,0.66,0.72,0.79,0.63,0.69,0.72,0.67,0.74,0.74,0.75,0.7,0.72,0.71,0.77,0.71,0.71,0.73,0.73,0.78,0.75,0.69,0.71,0.7,0.74,0.68,0.65,0.55,0.41,0.66,0.66,0.59,0.62,0.58,0.43,0.62,0.65,0.6,0.47,0.73,0.76
BDI_19,0.62,0.63,0.77,0.65,0.69,0.69,0.58,0.63,0.68,0.7,0.66,0.72,0.69,0.63,0.62,0.64,0.71,0.66,1.0,0.64,0.74,0.59,0.71,0.68,0.63,0.61,0.64,0.65,0.64,0.64,0.7,0.68,0.66,0.69,0.67,0.68,0.69,0.64,0.66,0.7,0.75,0.63,0.62,0.48,0.51,0.45,0.52,0.53,0.52,0.58,0.44,0.41,0.5,0.59,0.53,0.61,0.58,0.66
BDI_20,0.58,0.71,0.65,0.65,0.63,0.66,0.65,0.71,0.75,0.64,0.67,0.71,0.64,0.74,0.64,0.64,0.66,0.72,0.64,1.0,0.7,0.62,0.71,0.73,0.64,0.67,0.74,0.66,0.68,0.7,0.74,0.72,0.7,0.68,0.74,0.69,0.64,0.72,0.64,0.65,0.68,0.68,0.66,0.71,0.65,0.39,0.65,0.67,0.61,0.8,0.65,0.46,0.71,0.8,0.76,0.49,0.72,0.78
BDI_21,0.74,0.74,0.82,0.81,0.75,0.78,0.77,0.74,0.78,0.84,0.77,0.93,0.83,0.77,0.68,0.81,0.81,0.79,0.74,0.7,1.0,0.63,0.7,0.76,0.71,0.69,0.71,0.76,0.72,0.71,0.75,0.77,0.74,0.73,0.75,0.75,0.83,0.75,0.74,0.78,0.82,0.75,0.66,0.61,0.59,0.49,0.62,0.59,0.55,0.59,0.53,0.44,0.5,0.6,0.56,0.49,0.7,0.71
GDS_01,0.57,0.69,0.66,0.61,0.66,0.62,0.64,0.67,0.66,0.56,0.58,0.65,0.6,0.63,0.56,0.57,0.62,0.63,0.59,0.62,0.63,1.0,0.75,0.77,0.7,0.78,0.74,0.75,0.71,0.72,0.76,0.71,0.76,0.7,0.78,0.69,0.64,0.64,0.57,0.6,0.67,0.69,0.61,0.56,0.51,0.38,0.58,0.61,0.59,0.62,0.56,0.38,0.51,0.57,0.52,0.43,0.59,0.77
GDS_02,0.59,0.68,0.73,0.71,0.7,0.67,0.61,0.7,0.74,0.68,0.65,0.74,0.7,0.66,0.69,0.66,0.72,0.69,0.71,0.71,0.7,0.75,1.0,0.81,0.79,0.79,0.78,0.78,0.78,0.76,0.82,0.77,0.81,0.78,0.79,0.81,0.74,0.76,0.62,0.69,0.74,0.7,0.67,0.53,0.57,0.49,0.62,0.66,0.63,0.66,0.53,0.45,0.5,0.65,0.59,0.52,0.66,0.8
GDS_03,0.72,0.75,0.77,0.79,0.77,0.79,0.73,0.75,0.8,0.74,0.69,0.79,0.73,0.75,0.68,0.75,0.75,0.72,0.68,0.73,0.76,0.77,0.81,1.0,0.83,0.79,0.86,0.87,0.86,0.8,0.87,0.86,0.9,0.88,0.91,0.88,0.77,0.79,0.72,0.76,0.74,0.73,0.65,0.58,0.59,0.46,0.63,0.65,0.61,0.62,0.53,0.4,0.53,0.62,0.54,0.51,0.71,0.8
GDS_04,0.71,0.67,0.71,0.77,0.69,0.74,0.67,0.67,0.72,0.72,0.66,0.75,0.7,0.65,0.68,0.72,0.79,0.67,0.63,0.64,0.71,0.7,0.79,0.83,1.0,0.74,0.79,0.83,0.89,0.77,0.79,0.77,0.84,0.8,0.79,0.82,0.78,0.76,0.7,0.71,0.69,0.68,0.62,0.49,0.47,0.48,0.58,0.6,0.54,0.54,0.42,0.41,0.43,0.52,0.47,0.46,0.63,0.77
