,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
QPE_A1,1.0,0.97,0.94,0.94,0.9,0.9,0.91,0.9,0.92,0.9,0.89,0.91,0.89,0.89,0.9,0.9,0.9,0.9,0.91,0.9,0.92,0.85,0.79,0.89,0.84,0.83,0.9,0.93,0.9,0.93,0.77,0.78,0.8,0.74,0.59,0.75,0.93
QPE_V1,0.97,1.0,0.95,0.95,0.91,0.91,0.9,0.9,0.93,0.9,0.9,0.9,0.9,0.91,0.92,0.91,0.91,0.92,0.9,0.91,0.89,0.82,0.78,0.91,0.83,0.82,0.9,0.93,0.91,0.93,0.77,0.78,0.79,0.72,0.58,0.75,0.94
QPE_O1,0.94,0.95,1.0,0.98,0.9,0.91,0.9,0.92,0.93,0.91,0.92,0.9,0.89,0.93,0.94,0.93,0.93,0.94,0.9,0.91,0.87,0.8,0.8,0.86,0.81,0.81,0.87,0.92,0.93,0.93,0.74,0.75,0.77,0.71,0.57,0.73,0.94
QPE_O3,0.94,0.95,0.98,1.0,0.91,0.92,0.91,0.91,0.93,0.91,0.92,0.9,0.9,0.93,0.94,0.93,0.92,0.94,0.91,0.92,0.86,0.79,0.77,0.86,0.82,0.81,0.87,0.91,0.93,0.92,0.74,0.77,0.78,0.72,0.56,0.74,0.94
QPE_D1,0.9,0.91,0.9,0.91,1.0,0.93,0.95,0.93,0.94,0.93,0.92,0.94,0.92,0.93,0.93,0.96,0.91,0.91,0.94,0.91,0.84,0.79,0.73,0.86,0.88,0.8,0.87,0.9,0.95,0.93,0.73,0.78,0.79,0.69,0.54,0.72,0.94
QPE_D2,0.9,0.91,0.91,0.92,0.93,1.0,0.93,0.92,0.92,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.9,0.92,0.91,0.91,0.85,0.81,0.75,0.87,0.86,0.8,0.88,0.87,0.93,0.93,0.74,0.79,0.79,0.72,0.57,0.72,0.92
QPE_D3,0.91,0.9,0.9,0.91,0.95,0.93,1.0,0.93,0.94,0.93,0.92,0.94,0.92,0.91,0.92,0.94,0.91,0.91,0.93,0.9,0.84,0.79,0.73,0.84,0.85,0.8,0.86,0.91,0.93,0.92,0.73,0.77,0.77,0.71,0.55,0.72,0.92
QPE_D4,0.9,0.9,0.92,0.91,0.93,0.92,0.93,1.0,0.93,0.92,0.91,0.92,0.91,0.91,0.91,0.92,0.89,0.91,0.9,0.89,0.85,0.78,0.75,0.85,0.84,0.81,0.86,0.9,0.92,0.92,0.72,0.76,0.76,0.71,0.55,0.71,0.91
QPE_D5,0.92,0.93,0.93,0.93,0.94,0.92,0.94,0.93,1.0,0.95,0.93,0.94,0.94,0.92,0.93,0.94,0.94,0.93,0.94,0.93,0.85,0.8,0.77,0.85,0.85,0.82,0.89,0.89,0.94,0.93,0.74,0.78,0.79,0.73,0.56,0.76,0.94
QPE_D6,0.9,0.9,0.91,0.91,0.93,0.91,0.93,0.92,0.95,1.0,0.93,0.92,0.92,0.94,0.94,0.93,0.91,0.93,0.93,0.9,0.81,0.75,0.7,0.83,0.81,0.76,0.85,0.88,0.93,0.92,0.7,0.73,0.72,0.69,0.52,0.69,0.93
QPE_D7,0.89,0.9,0.92,0.92,0.92,0.92,0.92,0.91,0.93,0.93,1.0,0.92,0.92,0.94,0.94,0.93,0.92,0.93,0.9,0.88,0.82,0.75,0.7,0.84,0.8,0.76,0.84,0.87,0.94,0.92,0.68,0.73,0.72,0.66,0.52,0.67,0.92
QPE_D8,0.91,0.9,0.9,0.9,0.94,0.91,0.94,0.92,0.94,0.92,0.92,1.0,0.93,0.9,0.91,0.92,0.9,0.9,0.92,0.88,0.85,0.8,0.76,0.86,0.87,0.8,0.88,0.89,0.92,0.93,0.72,0.78,0.78,0.69,0.54,0.73,0.91
QPE_D9,0.89,0.9,0.89,0.9,0.92,0.91,0.92,0.91,0.94,0.92,0.92,0.93,1.0,0.89,0.91,0.9,0.9,0.91,0.9,0.91,0.83,0.79,0.75,0.85,0.84,0.85,0.89,0.87,0.92,0.9,0.73,0.8,0.77,0.72,0.57,0.75,0.91
SCOPA-PC_01,0.89,0.91,0.93,0.93,0.93,0.91,0.91,0.91,0.92,0.94,0.94,0.9,0.89,1.0,0.99,0.96,0.94,0.95,0.93,0.9,0.83,0.75,0.7,0.84,0.8,0.75,0.85,0.89,0.93,0.93,0.7,0.73,0.74,0.66,0.52,0.67,0.94
SCOPA-PC_02,0.9,0.92,0.94,0.94,0.93,0.91,0.92,0.91,0.93,0.94,0.94,0.91,0.91,0.99,1.0,0.96,0.94,0.95,0.93,0.91,0.84,0.76,0.71,0.85,0.81,0.77,0.86,0.89,0.93,0.93,0.72,0.74,0.75,0.67,0.53,0.69,0.94
SCOPA-PC_03,0.9,0.91,0.93,0.93,0.96,0.92,0.94,0.92,0.94,0.93,0.93,0.92,0.9,0.96,0.96,1.0,0.94,0.94,0.95,0.92,0.84,0.78,0.72,0.85,0.84,0.78,0.86,0.9,0.95,0.93,0.73,0.76,0.78,0.69,0.56,0.71,0.94
SCOPA-PC_04,0.9,0.91,0.93,0.92,0.91,0.9,0.91,0.89,0.94,0.91,0.92,0.9,0.9,0.94,0.94,0.94,1.0,0.95,0.93,0.91,0.84,0.77,0.75,0.83,0.8,0.78,0.86,0.9,0.92,0.91,0.75,0.75,0.77,0.71,0.57,0.73,0.95
SCOPA-PC_05,0.9,0.92,0.94,0.94,0.91,0.92,0.91,0.91,0.93,0.93,0.93,0.9,0.91,0.95,0.95,0.94,0.95,1.0,0.93,0.92,0.83,0.77,0.71,0.84,0.79,0.77,0.85,0.89,0.94,0.92,0.72,0.74,0.75,0.68,0.55,0.69,0.94
SCOPA-PC_06,0.91,0.9,0.9,0.91,0.94,0.91,0.93,0.9,0.94,0.93,0.9,0.92,0.9,0.93,0.93,0.95,0.93,0.93,1.0,0.94,0.83,0.78,0.74,0.84,0.86,0.81,0.87,0.89,0.93,0.92,0.77,0.79,0.81,0.72,0.58,0.77,0.94
SCOPA-PC_07,0.9,0.91,0.91,0.92,0.91,0.91,0.9,0.89,0.93,0.9,0.88,0.88,0.91,0.9,0.91,0.92,0.91,0.92,0.94,1.0,0.83,0.8,0.77,0.84,0.85,0.84,0.89,0.87,0.92,0.91,0.76,0.81,0.81,0.73,0.58,0.77,0.92
SAPS-PD_01,0.92,0.89,0.87,0.86,0.84,0.85,0.84,0.85,0.85,0.81,0.82,0.85,0.83,0.83,0.84,0.84,0.84,0.83,0.83,0.83,1.0,0.9,0.83,0.9,0.84,0.84,0.9,0.85,0.86,0.89,0.79,0.79,0.79,0.74,0.6,0.75,0.87
SAPS-PD_03,0.85,0.82,0.8,0.79,0.79,0.81,0.79,0.78,0.8,0.75,0.75,0.8,0.79,0.75,0.76,0.78,0.77,0.77,0.78,0.8,0.9,1.0,0.83,0.87,0.85,0.87,0.86,0.78,0.81,0.84,0.81,0.78,0.79,0.75,0.67,0.77,0.8
SAPS-PD_04,0.79,0.78,0.8,0.77,0.73,0.75,0.73,0.75,0.77,0.7,0.7,0.76,0.75,0.7,0.71,0.72,0.75,0.71,0.74,0.77,0.83,0.83,1.0,0.81,0.78,0.84,0.82,0.76,0.75,0.79,0.78,0.77,0.74,0.75,0.63,0.78,0.78
SAPS-PD_06,0.89,0.91,0.86,0.86,0.86,0.87,0.84,0.85,0.85,0.83,0.84,0.86,0.85,0.84,0.85,0.85,0.83,0.84,0.84,0.84,0.9,0.87,0.81,1.0,0.86,0.85,0.9,0.85,0.88,0.9,0.8,0.8,0.81,0.72,0.6,0.75,0.88
SAPS-PD_08,0.84,0.83,0.81,0.82,0.88,0.86,0.85,0.84,0.85,0.81,0.8,0.87,0.84,0.8,0.81,0.84,0.8,0.79,0.86,0.85,0.84,0.85,0.78,0.86,1.0,0.87,0.88,0.79,0.87,0.87,0.77,0.84,0.87,0.73,0.6,0.78,0.83
SAPS-PD_09,0.83,0.82,0.81,0.81,0.8,0.8,0.8,0.81,0.82,0.76,0.76,0.8,0.85,0.75,0.77,0.78,0.78,0.77,0.81,0.84,0.84,0.87,0.84,0.85,0.87,1.0,0.87,0.79,0.83,0.83,0.78,0.81,0.81,0.77,0.65,0.81,0.79
SAPS-PD_14,0.9,0.9,0.87,0.87,0.87,0.88,0.86,0.86,0.89,0.85,0.84,0.88,0.89,0.85,0.86,0.86,0.86,0.85,0.87,0.89,0.9,0.86,0.82,0.9,0.88,0.87,1.0,0.84,0.88,0.9,0.8,0.84,0.82,0.76,0.6,0.8,0.89
MDS-UPDRS_1.2,0.93,0.93,0.92,0.91,0.9,0.87,0.91,0.9,0.89,0.88,0.87,0.89,0.87,0.89,0.89,0.9,0.9,0.89,0.89,0.87,0.85,0.78,0.76,0.85,0.79,0.79,0.84,1.0,0.88,0.89,0.72,0.72,0.73,0.68,0.55,0.7,0.91
NPI_A_screen,0.9,0.91,0.93,0.93,0.95,0.93,0.93,0.92,0.94,0.93,0.94,0.92,0.92,0.93,0.93,0.95,0.92,0.94,0.93,0.92,0.86,0.81,0.75,0.88,0.87,0.83,0.88,0.88,1.0,0.95,0.74,0.78,0.8,0.7,0.56,0.72,0.94
NPI_B_screen,0.93,0.93,0.93,0.92,0.93,0.93,0.92,0.92,0.93,0.92,0.92,0.93,0.9,0.93,0.93,0.93,0.91,0.92,0.92,0.91,0.89,0.84,0.79,0.9,0.87,0.83,0.9,0.89,0.95,1.0,0.77,0.79,0.81,0.71,0.57,0.73,0.94
PPRS_01,0.77,0.77,0.74,0.74,0.73,0.74,0.73,0.72,0.74,0.7,0.68,0.72,0.73,0.7,0.72,0.73,0.75,0.72,0.77,0.76,0.79,0.81,0.78,0.8,0.77,0.78,0.8,0.72,0.74,0.77,1.0,0.82,0.85,0.88,0.78,0.86,0.79
PPRS_02,0.78,0.78,0.75,0.77,0.78,0.79,0.77,0.76,0.78,0.73,0.73,0.78,0.8,0.73,0.74,0.76,0.75,0.74,0.79,0.81,0.79,0.78,0.77,0.8,0.84,0.81,0.84,0.72,0.78,0.79,0.82,1.0,0.82,0.78,0.63,0.82,0.79
PPRS_03,0.8,0.79,0.77,0.78,0.79,0.79,0.77,0.76,0.79,0.72,0.72,0.78,0.77,0.74,0.75,0.78,0.77,0.75,0.81,0.81,0.79,0.79,0.74,0.81,0.87,0.81,0.82,0.73,0.8,0.81,0.85,0.82,1.0,0.78,0.66,0.82,0.8
PPRS_04,0.74,0.72,0.71,0.72,0.69,0.72,0.71,0.71,0.73,0.69,0.66,0.69,0.72,0.66,0.67,0.69,0.71,0.68,0.72,0.73,0.74,0.75,0.75,0.72,0.73,0.77,0.76,0.68,0.7,0.71,0.88,0.78,0.78,1.0,0.8,0.84,0.73
PPRS_05,0.59,0.58,0.57,0.56,0.54,0.57,0.55,0.55,0.56,0.52,0.52,0.54,0.57,0.52,0.53,0.56,0.57,0.55,0.58,0.58,0.6,0.67,0.63,0.6,0.6,0.65,0.6,0.55,0.56,0.57,0.78,0.63,0.66,0.8,1.0,0.68,0.57
PPRS_06,0.75,0.75,0.73,0.74,0.72,0.72,0.72,0.71,0.76,0.69,0.67,0.73,0.75,0.67,0.69,0.71,0.73,0.69,0.77,0.77,0.75,0.77,0.78,0.75,0.78,0.81,0.8,0.7,0.72,0.73,0.86,0.82,0.82,0.84,0.68,1.0,0.76
