,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
QPE_A1,1.0,0.74,0.67,0.58,0.48,0.41,0.19,0.37,0.32,0.15,0.5,0.4,0.48,0.66,0.56,0.27,0.39,0.14,0.2,0.09,0.55,0.49,0.3,0.28,0.22,0.16,0.22,0.75,0.35,0.51,0.36,0.18,0.23,0.18,0.07,-0.01,0.61
QPE_V1,0.74,1.0,0.6,0.55,0.39,0.29,0.17,0.33,0.32,0.21,0.5,0.34,0.43,0.72,0.66,0.25,0.33,0.15,0.19,0.13,0.28,0.23,0.3,0.41,0.2,0.12,0.2,0.77,0.28,0.44,0.49,0.29,0.16,0.14,0.15,-0.01,0.67
QPE_O1,0.67,0.6,1.0,0.66,0.49,0.38,0.21,0.46,0.38,0.22,0.62,0.51,0.38,0.63,0.51,0.32,0.44,0.25,0.31,0.17,0.39,0.34,0.53,0.3,0.3,0.22,0.31,0.66,0.38,0.46,0.32,0.16,0.31,0.26,0.13,0.15,0.55
QPE_O3,0.58,0.55,0.66,1.0,0.34,0.26,0.13,0.2,0.29,0.15,0.45,0.31,0.29,0.58,0.5,0.22,0.35,0.19,0.21,0.16,0.22,0.17,0.28,0.19,0.14,0.11,0.14,0.63,0.27,0.36,0.27,0.12,0.17,0.16,0.09,0.06,0.51
QPE_D1,0.48,0.39,0.49,0.34,1.0,0.62,0.35,0.59,0.25,0.23,0.52,0.39,0.56,0.48,0.39,0.49,0.29,0.1,0.08,0.16,0.35,0.31,0.21,0.31,0.44,0.35,0.18,0.47,0.48,0.36,0.23,0.36,0.52,0.12,0.15,0.1,0.41
QPE_D2,0.41,0.29,0.38,0.26,0.62,1.0,0.28,0.44,0.26,0.25,0.44,0.28,0.47,0.36,0.31,0.34,0.23,0.07,0.05,0.1,0.36,0.36,0.17,0.22,0.32,0.23,0.31,0.35,0.32,0.25,0.15,0.35,0.44,0.05,0.14,0.12,0.3
QPE_D3,0.19,0.17,0.21,0.13,0.35,0.28,1.0,0.34,0.25,0.19,0.2,0.28,0.18,0.17,0.15,0.43,0.15,0.02,0.16,0.2,0.08,0.07,0.13,0.03,0.23,0.1,0.15,0.19,0.15,0.13,0.16,0.11,0.27,0.08,0.13,0.06,0.18
QPE_D4,0.37,0.33,0.46,0.2,0.59,0.44,0.34,1.0,0.29,0.22,0.44,0.37,0.43,0.37,0.31,0.35,0.2,0.01,0.09,0.2,0.28,0.26,0.23,0.18,0.35,0.21,0.22,0.33,0.26,0.23,0.18,0.23,0.41,0.13,0.19,0.13,0.29
QPE_D5,0.32,0.32,0.38,0.29,0.25,0.26,0.25,0.29,1.0,0.45,0.35,0.27,0.24,0.29,0.29,0.2,0.26,0.16,0.18,0.13,0.14,0.14,0.22,0.08,0.17,0.05,0.18,0.28,0.22,0.26,0.06,0.1,0.11,0.06,0.12,0.04,0.32
QPE_D6,0.15,0.21,0.22,0.15,0.23,0.25,0.19,0.22,0.45,1.0,0.3,0.25,0.17,0.2,0.2,0.19,0.23,0.21,0.2,0.15,0.07,0.09,0.11,0.09,0.1,-0.01,0.15,0.16,0.12,0.17,0.07,0.12,0.13,0.0,0.1,0.06,0.24
