,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
QPE_A1,1.0,0.86,0.8,0.78,0.61,0.66,0.6,0.66,0.6,0.56,0.61,0.64,0.6,0.72,0.7,0.64,0.7,0.68,0.61,0.54,0.71,0.58,0.51,0.57,0.5,0.4,0.58,0.8,0.6,0.7,0.54,0.57,0.5,0.55,0.54,0.41,0.71
QPE_V1,0.86,1.0,0.81,0.78,0.62,0.66,0.61,0.66,0.62,0.58,0.63,0.66,0.59,0.8,0.8,0.65,0.7,0.71,0.61,0.58,0.6,0.5,0.54,0.7,0.5,0.37,0.62,0.82,0.62,0.72,0.61,0.65,0.54,0.54,0.57,0.43,0.78
QPE_O1,0.8,0.81,1.0,0.84,0.63,0.66,0.65,0.76,0.69,0.63,0.68,0.72,0.59,0.78,0.76,0.66,0.75,0.73,0.68,0.65,0.65,0.59,0.71,0.66,0.55,0.47,0.64,0.83,0.66,0.71,0.55,0.54,0.53,0.56,0.51,0.52,0.76
QPE_O3,0.78,0.78,0.84,1.0,0.53,0.58,0.57,0.6,0.58,0.53,0.6,0.61,0.54,0.74,0.72,0.61,0.71,0.64,0.64,0.55,0.56,0.5,0.55,0.54,0.43,0.4,0.54,0.83,0.56,0.66,0.52,0.49,0.5,0.52,0.46,0.46,0.75
QPE_D1,0.61,0.62,0.63,0.53,1.0,0.78,0.72,0.8,0.71,0.66,0.69,0.63,0.78,0.76,0.75,0.87,0.62,0.57,0.67,0.64,0.49,0.48,0.44,0.51,0.75,0.56,0.59,0.59,0.78,0.65,0.46,0.72,0.7,0.39,0.47,0.48,0.64
QPE_D2,0.66,0.66,0.66,0.58,0.78,1.0,0.64,0.71,0.68,0.61,0.68,0.62,0.68,0.74,0.74,0.76,0.63,0.68,0.62,0.59,0.55,0.55,0.47,0.53,0.6,0.49,0.65,0.64,0.69,0.65,0.43,0.66,0.61,0.41,0.5,0.49,0.65
QPE_D3,0.6,0.61,0.65,0.57,0.72,0.64,1.0,0.7,0.7,0.69,0.65,0.71,0.68,0.69,0.7,0.77,0.69,0.58,0.66,0.59,0.43,0.44,0.48,0.49,0.62,0.45,0.57,0.65,0.64,0.63,0.47,0.54,0.55,0.42,0.47,0.43,0.64
QPE_D4,0.66,0.66,0.76,0.6,0.8,0.71,0.7,1.0,0.74,0.72,0.69,0.71,0.71,0.79,0.78,0.79,0.68,0.66,0.69,0.7,0.57,0.52,0.57,0.59,0.64,0.47,0.62,0.7,0.71,0.66,0.5,0.61,0.63,0.49,0.55,0.49,0.7
QPE_D5,0.6,0.62,0.69,0.58,0.71,0.68,0.7,0.74,1.0,0.76,0.68,0.67,0.66,0.68,0.7,0.68,0.61,0.65,0.67,0.64,0.5,0.52,0.53,0.56,0.59,0.47,0.62,0.63,0.69,0.67,0.45,0.53,0.54,0.4,0.51,0.51,0.65
QPE_D6,0.56,0.58,0.63,0.53,0.66,0.61,0.69,0.72,0.76,1.0,0.63,0.68,0.58,0.66,0.66,0.66,0.59,0.64,0.7,0.68,0.42,0.38,0.43,0.46,0.47,0.35,0.53,0.58,0.56,0.59,0.44,0.5,0.51,0.35,0.41,0.46,0.65
QPE_D7,0.61,0.63,0.68,0.6,0.69,0.68,0.65,0.69,0.68,0.63,1.0,0.71,0.67,0.73,0.74,0.68,0.68,0.59,0.65,0.55,0.61,0.59,0.64,0.67,0.67,0.64,0.68,0.62,0.79,0.77,0.5,0.63,0.6,0.47,0.47,0.47,0.68
QPE_D8,0.64,0.66,0.72,0.61,0.63,0.62,0.71,0.71,0.67,0.68,0.71,1.0,0.68,0.69,0.69,0.64,0.7,0.67,0.65,0.6,0.5,0.46,0.58,0.61,0.55,0.5,0.59,0.69,0.61,0.71,0.52,0.55,0.55,0.47,0.46,0.42,0.68
